fare_id,route_id,origin_id,destination_id,contains_id
230,10048,97_1,725_2,
470,10032,6042_1,446_3,
270,10053,7475_3,6289_9,
230,10058,473_1,17_1,
790,10063,9_3,6034_1,
400,10049,6040_1,6016_2,
230,10075,59_4,56_2,
230,10056,44_2,42_2,
230,10064,7841_4,6006_2,
230,10057,42_2,39_2,
590,10032,59_4,6200_3,
230,10070,152_3,606_2,
230,10053,446_4,6158_2,
520,10031,128_1,6246_2,
280,10044,6042_1,6255_1,
230,10069,610_2,615_2,
260,10055,6290_1,6145_1,
520,10053,6355_1,14_1,
230,10067,212_2,6180_2,
230,10053,16_2,42_2,
230,10062,6229_1,91_2,
630,10053,6357_9,7471_1,
340,10031,6042_1,95_1,
430,10047,6241_2,6206_2,
270,10031,91_1,6181_2,
230,10032,6160_2,94_1,
230,10067,152_3,425_1,
230,10078,7217_2,422_1,
230,10047,6001_1,73_1,
230,10060,73_1,6011_4,
230,10002,453_1,256_2,
230,10078,144_2,557_2,
230,10074,67_2,255_2,
230,10072,55_4,6163_1,
230,10067,114_5,151_2,
230,10062,6020_1,6405_1,
230,10064,6290_1,6405_1,
230,10075,210_2,7213_2,
250,10031,6244_1,6162_1,
230,10048,102_1,75_2,
230,10068,215_1,114_5,
230,10031,9_5,94_1,
230,10078,615_2,215_2,
230,10079,7717_1,6191_1,
230,10068,609_1,606_1,
230,10064,6006_2,6020_9,
860,10053,6300_2,6350_1,
230,10031,6094_1,91_4,
230,10049,6094_1,93_2,
230,10044,6041_1,6166_1,
230,10070,422_2,216_1,
230,10082,423_2,424_2,
230,10063,75_1,6153_2,
230,10002,906_1,123_1,
200,10047,94_3,6242_1,
230,10060,6205_1,8_3,
230,10058,7475_2,7471_1,
230,10002,453_1,126_1,
230,10047,6160_1,3_1,
230,10034,6263_2,6106_2,
230,10033,91_3,6074_2,
230,10056,6263_2,6020_9,
230,10034,6229_2,6020_9,
230,10053,6043_1,21_1,
1050,10053,6309_1,17_1,
