jp_pattern_id,route_update_date,origin_stop,via_stop,destination_stop
1012_1,20260328,大原,【八瀬バイパス経由】八瀬駅前・宝ヶ池・高野橋東詰,出町柳駅前
1481_2,20260328,出町柳駅前,高野橋東詰・修学院離宮道・国際会館駅前・八瀬駅前,大原
1595_2,20260328,京都駅前,四条河原町・京大正門前・百万遍・出町柳駅前,高野車庫
1651_2,20260328,高野車庫,八瀬駅前,大原
1661_2,20260328,河原町三条,【川端通経由】出町柳駅前・高野橋東詰・国際会館駅前・八瀬駅前,大原
1666_1,20260328,大原,【川端通経由】八瀬駅前・国際会館駅前・宝ヶ池・高野橋東詰・出町柳駅前,三条京阪前
1710_1,20260328,大原,【川端通経由】八瀬駅前・宝ヶ池・高野橋東詰・出町柳駅前・三条京阪前・四条河原町・四条烏丸,京都駅前
1711_2,20260328,京都駅前,【川端通経由】四条河原町・三条京阪前・出町柳駅前・高野橋東詰・八瀬駅前,大原
1760_1,20260328,大原,【川端通経由】八瀬駅前・国際会館駅前・宝ヶ池・高野橋東詰・出町柳駅前・三条京阪前・四条河原町・四条烏丸,京都駅前
1761_2,20260328,京都駅前,【川端通経由】四条河原町・三条京阪前・出町柳駅前・高野橋東詰・国際会館駅前・八瀬駅前,大原
1790_1,20260328,国際会館駅前,【川端通経由】宝ヶ池・高野橋東詰・出町柳駅前・三条京阪前・四条河原町・四条烏丸,京都駅前
1818_1,20260328,大原,【東山通経由】八瀬駅前・宝ヶ池・銀閣寺道・百万遍・祇園・清水道・博物館三十三間堂前（五条坂は通過します）,京都駅前
1851_2,20260328,京都駅前,【東山通経由】博物館三十三間堂前・五条坂・祇園・百万遍・高野,高野橋東詰
1858_1,20260328,高野橋東詰,【東山通経由】百万遍・祇園・清水道・博物館三十三間堂前（五条坂は通過します）,京都駅前
1910_1,20260328,大原,八瀬駅前,国際会館駅前
1911_2,20260328,国際会館駅前,八瀬駅前,大原
1990_1,20260328,小出石,大原・八瀬駅前,国際会館駅前
1993_2,20260328,国際会館駅前,八瀬駅前・大原・古知谷,大原
1995_2,20260328,国際会館駅前,八瀬駅前・大原・古知谷,大原
2215_2,20260328,高野車庫,きつね坂・左京区総合庁舎前,国際会館駅前
2400_1,20260328,岩倉実相院,岩倉駅前・花園町,国際会館駅前
2401_2,20260328,国際会館駅前,花園町・岩倉駅前,岩倉実相院
2426_1,20260328,岩倉実相院,岩倉駅前・花園町,国際会館駅前
2426_2,20260328,国際会館駅前,花園町・岩倉駅前,岩倉村松
2470_1,20260328,岩倉実相院,岩倉駅前・花園町,国際会館駅前
2470_2,20260328,国際会館駅前,花園町・岩倉駅前,岩倉実相院
2600_1,20260328,岩倉村松,岩倉駅前・花園町,国際会館駅前
2601_2,20260328,国際会館駅前,花園町・岩倉駅前,岩倉村松
2624_1,20260328,岩倉村松,岩倉駅前・花園町,国際会館駅前
2624_2,20260328,国際会館駅前,花園町・岩倉駅前,岩倉実相院
2625_1,20260328,岩倉村松,岩倉駅前・花園町,国際会館駅前
2625_2,20260328,国際会館駅前,岩倉下在地町,岩倉実相院
2670_1,20260328,岩倉村松,岩倉駅前・花園町,国際会館駅前
2670_2,20260328,国際会館駅前,花園町・岩倉駅前,岩倉村松
3210_1,20260328,広河原,鞍馬・貴船口・京都産業大学前・御薗口町（上賀茂神社前）・烏丸北大路（地下鉄北大路駅）・高野橋東詰,出町柳駅前
3211_2,20260328,出町柳駅前,烏丸北大路（地下鉄北大路駅）・御薗口町（上賀茂神社前）・京都産業大学前・貴船口・鞍馬・花背峠・花背山の家前・大布施・大悲山口,広河原
3320_1,20260328,貴船,,叡電貴船口駅前
3320_2,20260328,叡電貴船口駅前,,貴船
3361_1,20260328,貴船,,叡電貴船口駅前
3361_2,20260328,貴船口,,貴船
3390_1,20260328,貴船,,叡電貴船口駅前
