route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
10001,8130001002355,臨時,神宮丸太町駅（河原町丸太町）～嵯峨瀬戸川町,,3,,106346,FFFFFF,【臨時系統（丸太町通）　神宮丸太町駅方面】嵯峨瀬戸川町→神宮丸太町駅
10002,8130001002355,臨時,京都駅前～高野橋東詰,,3,,38BA99,FFFFFF,【臨時系統（東山通）　京都駅方面】高野橋東詰→清水道→京都駅前
10008,8130001002355,　,【岩倉下在地町経由】国際会館駅前→岩倉下在地町→岩倉実相院,,3,,00BBCE,000000,【岩倉下在地町経由　岩倉実相院方面】国際会館駅前→岩倉下在地町→岩倉実相院
10012,8130001002355,　,高野車庫→国際会館駅前,,3,,0072BC,FFFFFF,【きつね坂経由　国際会館駅前方面】高野車庫→国際会館駅前
10017,8130001002355,　,静原下の町→市原,,3,,FCB415,000000,【34・35系統　北大路・出町柳駅方面】静原・市原→北大路バスターミナル・出町柳駅前（一部便は川島織物セルコンを経由）
10018,8130001002355,快速,【快速】京都駅前→高野車庫,,3,,F89C0E,000000,【快速系統　高野車庫方面】京都駅前→京大正門前→高野車庫
10019,8130001002355,　,【罧原堤防経由】苔寺・すず虫寺→有栖川,,3,,5CDEFF,000000,【罧原堤防経由　有栖川方面】苔寺・すず虫寺→有栖川
10023,8130001002355,特急,【特急】京都駅前→太秦映画村前,,3,,ED1C24,FFFFFF,【特急】京都駅前→太秦映画村前
10031,8130001002355,特１６,四条河原町～国際会館駅前～大原,,3,,A74433,FFFFFF,【特16系統　国際会館駅前・四条河原町方面】大原→国際会館駅前→四条河原町
10032,8130001002355,特１７,京都駅前～国際会館駅前～大原,,3,,007891,FFFFFF,【特17系統　国際会館駅前・京都駅方面】大原→国際会館駅前→京都駅前
10033,8130001002355,特４０,国際会館駅前～西幡枝～京都産業大学前,,3,,EE312C,FFFFFF,【特40系統　国際会館駅前方面】京都産業大学前→西幡枝→国際会館駅前
10034,8130001002355,特５２,国際会館駅前→貴船口,,3,,BF8EC0,FFFFFF,【50・52系統　市原・貴船口・鞍馬方面】国際会館駅前→市原・貴船口・鞍馬温泉（一部便は市原(上野中)・二の瀬を通過します）
10035,8130001002355,特５４,国際会館駅前→貴船口→静原,,3,,AD2181,FFFFFF,【特54系統　貴船口・静原方面】国際会館駅前→貴船口→静原上の町
10036,8130001002355,直行３６,【直行】出町柳駅前→京都産業大学前,,3,,939598,FFFFFF,【直行　京都産業大学方面】出町柳駅前→京都産業大学前
