stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
100,,一乗寺木ノ本町,,35.041335,135.791808,,,1,,,,
101,,上終町・瓜生山学園京都芸術大学前,,35.036193,135.791677,,,1,,,,
102,,北白川校前,,35.030230,135.791508,,,1,,,,
103,,銀閣寺道,,35.028103,135.790526,,,1,,,,
113,,東山三条（地下鉄東山駅）,,35.009405,135.778202,,,1,,,,
114,,三条京阪前,,35.008930,135.772406,,,1,,,,
122,,東山七条,,34.989555,135.774045,,,1,,,,
123,,馬町,,34.991771,135.774779,,,1,,,,
124,,五条坂,,34.995057,135.776418,,,1,,,,
125,,清水道,,34.997982,135.777072,,,1,,,,
126,,東山安井,,35.000177,135.777467,,,1,,,,
127,,祇園,,35.003881,135.777343,,,1,,,,
128,,四条京阪前,,35.004307,135.772282,,,1,,,,
14,,洛北高校前,,35.044025,135.770554,,,1,,,,
144,,市立病院前,,34.996089,135.735370,,,1,,,,
15,,府立大学前,,35.043919,135.768233,,,1,,,,
150,,二条駅前,,35.011493,135.742595,,,1,,,,
151,,千本旧二条,,35.015689,135.742569,,,1,,,,
152,,千本丸太町,,35.017988,135.742692,,,1,,,,
16,,植物園前,,35.043809,135.764386,,,1,,,,
17,,烏丸北大路（北大路駅）,,35.043654,135.760146,,,1,,,,
18,,北大路新町,,35.042346,135.754922,,,1,,,,
184,,堀川丸太町,,35.017355,135.751087,,,1,,,,
186,,堀川御池,,35.011001,135.752652,,,1,,,,
200,,丸太町智恵光院,,35.018137,135.746673,,,1,,,,
201,,文化庁前・府庁前,,35.017383,135.755520,,,1,,,,
202,,裁判所前,,35.017421,135.764267,,,1,,,,
203,,知恩院前,,35.006456,135.777781,,,1,,,,
204,,西大路三条,,35.007642,135.731904,,,1,,,,
205,,山ノ内,,35.008328,135.723580,,,1,,,,
206,,庚申前,,35.008322,135.718890,,,1,,,,
209,,太秦東口,,35.013659,135.710973,,,1,,,,
21,,上堀川,,35.049291,135.751538,,,1,,,,
210,,太秦広隆寺前,,35.013907,135.706336,,,1,,,,
211,,太秦開町,,35.014621,135.704369,,,1,,,,
212,,帷子ノ辻,,35.014844,135.700571,,,1,,,,
214,,有栖川,,35.014359,135.691407,,,1,,,,
215,,車折神社前,,35.014375,135.688804,,,1,,,,
216,,下嵯峨,,35.014213,135.683715,,,1,,,,
239,,西大路五条,,34.996198,135.732210,,,1,,,,
242,,左京区総合庁舎前,,35.048845,135.776342,,,1,,,,
243,,修学院駅前,,35.050874,135.788926,,,1,,,,
249,,西ノ京円町（ＪＲ円町駅）,,35.018594,135.731809,,,1,,,,
250,,丸太町御前通,,35.018596,135.735885,,,1,,,,
251,,丸太町七本松,,35.018453,135.739181,,,1,,,,
252,,神泉苑前,,35.010951,135.748134,,,1,,,,
253,,新町御池,,35.010831,135.757011,,,1,,,,
254,,堺町御池,,35.010801,135.763421,,,1,,,,
255,,三条春日,,35.008344,135.729033,,,1,,,,
256,,七条京阪前,,34.989307,135.768758,,,1,,,,
3,,河原町三条,,35.008759,135.768987,,,1,,,,
302,,大宮五条,,34.996330,135.749208,,,1,,,,
335,,左京区総合庁舎・京都工芸繊維大学前,,35.048212,135.779932,,,1,,,,
38,,上賀茂御薗橋,,35.056121,135.751445,,,1,,,,
39,,加茂川中学前,,35.054312,135.751373,,,1,,,,
