table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,しずはうす前,,,しずはうす前
stops,stop_name,en,Shizu House,,,しずはうす前
stops,stop_name,zh-cn,静之家前,,,しずはうす前
stops,stop_name,zh-tw,靜之家前,,,しずはうす前
stops,stop_name,ko,시즈하우스마에,,,しずはうす前
stops,stop_name,ja-Hrkt,しずはうすまえ,,,しずはうす前
stops,stop_name,ja,ふるさと前,,,ふるさと前
stops,stop_name,en,Furusato-mae,,,ふるさと前
stops,stop_name,zh-cn,故里前,,,ふるさと前
stops,stop_name,zh-tw,故里前,,,ふるさと前
stops,stop_name,ko,후루사토마에,,,ふるさと前
stops,stop_name,ja-Hrkt,ふるさとまえ,,,ふるさと前
stops,stop_name,ja,ゴルフ場前,,,ゴルフ場前
stops,stop_name,en,Golf-jo-mae,,,ゴルフ場前
stops,stop_name,zh-cn,Golf场前（高尔夫球场）,,,ゴルフ場前
stops,stop_name,zh-tw,Golf場前（高爾夫球場）,,,ゴルフ場前
stops,stop_name,ko,고루후조마에,,,ゴルフ場前
stops,stop_name,ja-Hrkt,ごるふじょうまえ,,,ゴルフ場前
stops,stop_name,ja,ロテル・ド・比叡,,,ロテル・ド・比叡
stops,stop_name,en,L`Hotel de Hiei,,,ロテル・ド・比叡
stops,stop_name,zh-cn,罗特尔德比睿酒店,,,ロテル・ド・比叡
stops,stop_name,zh-tw,羅特爾德比睿飯店,,,ロテル・ド・比叡
stops,stop_name,ko,로테루　도　히에이,,,ロテル・ド・比叡
stops,stop_name,ja-Hrkt,ろてるどひえい,,,ロテル・ド・比叡
stops,stop_name,ja,一乗寺下り松町,,,一乗寺下り松町
stops,stop_name,en,Ichijoji Sagarimatsucho (Shisendo Jozanji Temple),,,一乗寺下り松町
stops,stop_name,zh-cn,一乘寺下松町,,,一乗寺下り松町
stops,stop_name,zh-tw,一乘寺下松町,,,一乗寺下り松町
stops,stop_name,ko,이치조지사가리마쓰초,,,一乗寺下り松町
stops,stop_name,ja-Hrkt,いちじょうじさがりまつちょう,,,一乗寺下り松町
stops,stop_name,ja,一乗寺木ノ本町,,,一乗寺木ノ本町
