service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01001,1,1,1,1,1,0,0,20260320,20270331
02001,0,0,0,0,0,0,1,20260320,20270331
03001,0,0,0,0,0,1,0,20260320,20270331
01001_GYB,1,1,1,1,1,0,0,20260320,20270331
02001_GYB,0,0,0,0,0,0,1,20260320,20270331
03001_GYB,0,0,0,0,0,1,0,20260320,20270331
01002_RIT,1,1,1,1,1,0,0,20260320,20270331
01003_KSU,1,1,1,1,1,0,0,20260320,20270331
01004_BUK,1,1,1,1,1,0,0,20260320,20270331
01005_MSN,1,1,1,1,1,0,0,20260320,20270331
01001_A,1,1,1,1,1,0,0,20260320,20270331
02001_A,0,0,0,0,0,0,1,20260320,20270331
03001_A,0,0,0,0,0,1,0,20260320,20270331
