route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
00100,2000020261009,"市バス１","市バス１号系統","",3,,0000FF,FFFFFF
00302,2000020261009,"市バス上終町３","市バス上終町３号系統","",3,,0000FF,FFFFFF
003A0,2000020261009,"市バス３","市バス３号系統","",3,,0000FF,FFFFFF
00400,2000020261009,"市バス４","市バス４号系統","",3,,0000FF,FFFFFF
00403,2000020261009,"市バス松ヶ崎４","市バス特４号系統","",3,,0000FF,FFFFFF
00404,2000020261009,"かわらまち・よるバス","市バス臨４号系統","",3,,ADD8E6,000000
00500,2000020261009,"市バス５","市バス５号系統","",3,,0000FF,FFFFFF
00503,2000020261009,"市バス五条通５","市バス特５号系統","",3,,0000FF,FFFFFF
00525,2000020261009,"市バス快速５","市バス快速特５号系統","",3,,0000FF,FFFFFF
00600,2000020261009,"市バス６","市バス６号系統","",3,,0000FF,FFFFFF
00684,2000020261009,"市バス快速６","市バス快速６号系統","",3,,0000FF,FFFFFF
00700,2000020261009,"市バス７","市バス７号系統","",3,,0000FF,FFFFFF
00800,2000020261009,"市バス８","市バス８号系統","",3,,0000FF,FFFFFF
00803,2000020261009,"市バス特８","市バス特８号系統","",3,,0000FF,FFFFFF
00900,2000020261009,"市バス９","市バス９号系統","",3,,0000FF,FFFFFF
00985,2000020261009,"市バス快速９","市バス快速９号系統","",3,,0000FF,FFFFFF
01000,2000020261009,"市バス１０","市バス１０号系統","",3,,0000FF,FFFFFF
01100,2000020261009,"市バス１１","市バス１１号系統","",3,,0000FF,FFFFFF
01200,2000020261009,"市バス１２","市バス１２号系統","",3,,0000FF,FFFFFF
01300,2000020261009,"市バス１３","市バス１３号系統","",3,,0000FF,FFFFFF
01303,2000020261009,"市バス特１３","市バス特１３号系統","",3,,0000FF,FFFFFF
01500,2000020261009,"市バス１５","市バス１５号系統","",3,,0000FF,FFFFFF
01595,2000020261009,"市バス快速１５","市バス快速１５号系統","",3,,0000FF,FFFFFF
01600,2000020261009,"市バス１６","市バス１６号系統","",3,,0000FF,FFFFFF
01800,2000020261009,"市バス１８","市バス１８号系統","",3,,0000FF,FFFFFF
01803,2000020261009,"市バス特１８","市バス特１８号系統","",3,,0000FF,FFFFFF
01804,2000020261009,"市バス竹田駅１８","市バス臨１８号系統","",3,,0000FF,FFFFFF
01900,2000020261009,"市バス１９","市バス１９号系統","",3,,000000,FFFFFF
02001,2000020261009,"市バス２０（菱川→淀）","市バス２０甲号系統","",3,,000000,FFFFFF
02002,2000020261009,"市バス２０（南横大路→淀）","市バス２０乙号系統","",3,,000000,FFFFFF
02041,2000020261009,"市バス伏見港２０（南横大路経由）","市バス２０甲Ｂ入号系統（復路）","",3,,000000,FFFFFF
02042,2000020261009,"市バス伏見港２０（菱川経由）","市バス２０乙Ｂ入号系統（復路）","",3,,000000,FFFFFF
02200,2000020261009,"市バス２２","市バス２２号系統","",3,,000000,FFFFFF
0229E,2000020261009,"市バス伏見港２２","市バス伏見港２２号系統（復路）","",3,,000000,FFFFFF
02300,2000020261009,"市バス２３","市バス２３号系統","",3,,000000,FFFFFF
02500,2000020261009,"市バス２５","市バス２５号系統","",3,,0000FF,FFFFFF
02600,2000020261009,"市バス２６","市バス２６号系統","",3,,0000FF,FFFFFF
